48755.4,29915.5,0
34875.1,25762.1,1
50471,6979.91,2
35534.7,30899.6,3
37776.9,43195,4
44568.5,25635.9,5
26255.7,601.43,6
49478.2,25465.8,7
25022.5,34743.3,8
59661.1,13786.2,9
25521.6,18758,10
30990.8,2850.4,11
18937.8,16139.9,12
46860.7,21914.3,13
34643.1,39666.9,14
56240.5,22768.6,15
32379.6,54127.7,16
14657.8,9840.54,17
43668,52335.5,18
26960.1,30719.1,19
7973.79,5905.43,20
56322.1,5661,21
21100.7,41682.9,22
24482.2,54867.8,23
20317.7,23871.2,24
49681,46589.4,25
22347.7,33724.6,26
15132.8,56401.8,27
27135.8,31344.5,28
12253.4,58988.5,29
53185.2,25300.9,30
43912.8,31840.6,31
22832.6,5840.02,32
39335,58733.6,33
18750,30915.8,34
11738.2,12970.3,35
29506.3,50590.4,36
10167.1,33632.5,37
14444.1,13361.7,38
54058.6,15110.1,39
57051.2,44374.1,40
27520.6,50661.8,41
38905.6,58780.6,42
16073.1,52287.4,43
